Time (s),Product Position,Actual Temperature
0,0.0,200.0
1,2.2483570765056164,198.20897007485027
2,4.179224925920024,196.43576119521597
3,6.5030691949703705,194.6801960387315
4,9.264584123174384,192.94209904741822
5,11.147507435812717,191.2212964101286
6,13.030438957338127,189.51761604516486
7,15.820045365091822,187.8308875830709
8,18.203762729668277,186.16094234959544
9,19.9690255367008,184.50761334882577
10,22.240305558493784,182.87073524649148
11,24.008596712087552,181.25014435345423
12,25.775731835302423,179.6456786093639
13,27.896712971085442,178.0571775666265
14,28.940072848756543,176.48448237527822
15,30.077613932500025,174.9274357647896
16,31.796470167879537,173.3858820312794
17,33.29005460771233,171.85966703036405
18,35.447178274009964,170.34863815955984
19,36.99316623624936,168.8526444252792
20,38.28701438558171,167.37153638286458
21,41.01983877004249,165.9051661544174
22,42.906950619799225,164.45338955492153
23,44.940714722143184,163.01606469696245
24,46.22834062903645,161.5930616501503
25,47.95614926677386,160.18423849608885
26,50.0116105616288,158.78949164708084
27,51.43611377291765,157.40880835490856
28,53.62396278209049,156.04205173515646
29,55.32364343713108,154.68964976813237
30,57.17779656223444,153.3518013066722
31,58.876943256119745,152.02973369699373
32,61.80308234837421,150.72384350579455
33,63.796333736005245,149.44533259768383
34,65.2674782715273,148.2051870385524
35,67.67875072757889,146.98942573201546
36,69.06832890259338,145.8794828720338
37,71.17276070009575,144.80435689460137
38,72.19292563815586,144.03560514702085
39,73.52883261370664,143.30006403202
40,75.62726323164121,142.58324377995768
41,77.99649652163892,142.0996766699007
42,80.0821806622339,142.11814089764584
43,82.02435652103978,142.7400485476427
44,83.87380467324513,144.0720134043474
45,85.13454367806142,147.29329507295563
46,86.77462157386407,150.23024073852318
47,88.54430218838418,153.6647502187994
48,91.07286330149364,156.49763588943213
49,93.24467244627787,160.77825392291342
50,94.3631523685965,171.022309203362
51,96.5251943532939,176.09500034088327
52,98.33265321308573,182.7388643555322
53,99.99419221293276,190.14735909945162
54,102.3000303573532,194.80842624285063
55,104.81553011860117,198.44812074793256
56,107.28117017815927,201.47905836170577
57,108.86156141654796,206.36835638967827
58,110.70695522862235,209.39740726486463
59,112.87258694432413,210.82926586818348
60,115.3603595078853,211.04333226018838
61,117.12077238896266,211.45819034463145
62,119.02794290063075,211.12658717108982
63,120.47477541362774,210.8336490575987
64,121.8766721015874,210.21010218022155
65,124.2829350127845,208.77099409763707
66,126.96105502706992,207.1141165400723
67,128.92504996627974,205.4377012358866
68,131.42681641522574,203.66701460562155
